検索キーID,表示名,大区分,中区分,小区分,関連診療科,重み初期値,検索対象,設問数,設問ID,出典カテゴリ,メディマップ語彙,親検索キーID
C0041,在宅中心静脈栄養管理（IVH管理）,内科,消化器内科（肝臓内科含む）,在宅・緩和ケア,消化器内科（肝臓内科含む）,3,1,1,85,内科>消化器内科（肝臓内科含む）>在宅・緩和ケア,,
C0042,【悪性腫瘍】疼痛管理（オピオイド）,内科,消化器内科（肝臓内科含む）,在宅・緩和ケア,消化器内科（肝臓内科含む）,3,1,1,86,内科>消化器内科（肝臓内科含む）>在宅・緩和ケア,,
C0043,【悪性腫瘍】在宅での看取り,内科,消化器内科（肝臓内科含む）,在宅・緩和ケア,消化器内科（肝臓内科含む）,3,1,1,87,内科>消化器内科（肝臓内科含む）>在宅・緩和ケア,,
C0044,喘息診療（発作対応・吸入・点滴・フォロー）,内科,呼吸器内科,慢性呼吸器疾患,呼吸器内科,3,1,1,89,内科>呼吸器内科>慢性呼吸器疾患,,
C0045,喘息に対する生物学的抗体製剤注射,内科,呼吸器内科,慢性呼吸器疾患,呼吸器内科,3,1,1,90,内科>呼吸器内科>慢性呼吸器疾患,,
C0046,COPDの診断・治療・フォロー,内科,呼吸器内科,慢性呼吸器疾患,呼吸器内科,3,1,1,91,内科>呼吸器内科>慢性呼吸器疾患,,
C0047,間質性肺炎（無治療例の経過観察）,内科,呼吸器内科,慢性呼吸器疾患,呼吸器内科,3,1,1,92,内科>呼吸器内科>慢性呼吸器疾患,,
C0048,非結核性抗酸菌症（フォロー／無治療経過観察）,内科,呼吸器内科,慢性呼吸器疾患,呼吸器内科,3,1,1,93,内科>呼吸器内科>慢性呼吸器疾患,,
C0049,呼吸機能検査（スパイロメトリー／呼気一酸化窒素測定 FeNO）,内科,呼吸器内科,検査,呼吸器内科,2,1,1,94,内科>呼吸器内科>検査,,
C0050,胸部レントゲン撮影,内科,呼吸器内科,検査,呼吸器内科,2,1,1,95,内科>呼吸器内科>検査,,
C0051,胸部CT検査,内科,呼吸器内科,検査,呼吸器内科,2,1,1,96,内科>呼吸器内科>検査,,
C0052,吸入指導（薬局依頼含む）,内科,呼吸器内科,治療・処方管理,呼吸器内科,3,1,1,97,内科>呼吸器内科>治療・処方管理,,
C0053,在宅酸素療法（HOT／LTOT）,内科,呼吸器内科,治療・処方管理,呼吸器内科,3,1,1,98,内科>呼吸器内科>治療・処方管理,,
C0054,睡眠時無呼吸症候群に対するCPAP／BIPAP管理,内科,呼吸器内科,治療・処方管理,呼吸器内科,3,1,1,99,内科>呼吸器内科>治療・処方管理,,
C0055,COPDなどに対する非侵襲的陽圧換気療法（NPPV）,内科,呼吸器内科,治療・処方管理,呼吸器内科,3,1,1,100,内科>呼吸器内科>治療・処方管理,,
C0056,肺癌の症状緩和療法（麻薬使用あり／なし）,内科,呼吸器内科,腫瘍・緩和ケア,呼吸器内科,3,1,1,101,内科>呼吸器内科>腫瘍・緩和ケア,,
C0057,慢性呼吸不全・肺癌の看取りを含めた在宅往診管理,内科,呼吸器内科,腫瘍・緩和ケア,呼吸器内科,3,1,1,102,内科>呼吸器内科>腫瘍・緩和ケア,,
C0058,経口糖尿病薬による治療,内科,内分泌・代謝内科（糖尿病含む）,糖尿病管理,内分泌・代謝内科（糖尿病含む）,3,1,1,104,内科>内分泌・代謝内科（糖尿病含む）>糖尿病管理,,
C0059,糖尿病注射薬治療（GLP-1RA・インスリンなど、外来導入含む）,内科,内分泌・代謝内科（糖尿病含む）,糖尿病管理,内分泌・代謝内科（糖尿病含む）,3,1,1,105,内科>内分泌・代謝内科（糖尿病含む）>糖尿病管理,,
C0060,インスリン治療管理（処方・増減・ポンプ管理含む）,内科,内分泌・代謝内科（糖尿病含む）,糖尿病管理,内分泌・代謝内科（糖尿病含む）,3,1,1,106,内科>内分泌・代謝内科（糖尿病含む）>糖尿病管理,,
C0061,自己血糖測定管理指導,内科,内分泌・代謝内科（糖尿病含む）,糖尿病管理,内分泌・代謝内科（糖尿病含む）,3,1,1,107,内科>内分泌・代謝内科（糖尿病含む）>糖尿病管理,,
C0062,血糖モニタリング（CGM／FGM）,内科,内分泌・代謝内科（糖尿病含む）,糖尿病管理,内分泌・代謝内科（糖尿病含む）,3,1,1,108,内科>内分泌・代謝内科（糖尿病含む）>糖尿病管理,,
C0063,栄養指導,内科,内分泌・代謝内科（糖尿病含む）,糖尿病管理,内分泌・代謝内科（糖尿病含む）,3,1,1,109,内科>内分泌・代謝内科（糖尿病含む）>糖尿病管理,,
C0064,甲状腺疾患薬物治療（バセドウ病含む）,内科,内分泌・代謝内科（糖尿病含む）,甲状腺疾患管理,内分泌・代謝内科（糖尿病含む）,3,1,1,110,内科>内分泌・代謝内科（糖尿病含む）>甲状腺疾患管理,,
C0065,甲状腺腫瘍のフォロー,内科,内分泌・代謝内科（糖尿病含む）,甲状腺疾患管理,内分泌・代謝内科（糖尿病含む）,3,1,1,111,内科>内分泌・代謝内科（糖尿病含む）>甲状腺疾患管理,,
C0066,甲状腺超音波検査,内科,内分泌・代謝内科（糖尿病含む）,甲状腺疾患管理,乳腺・甲状腺外科、内分泌・代謝内科（糖尿病含む）,3,1,2,"112,238",内科>内分泌・代謝内科（糖尿病含む）>甲状腺疾患管理 | 外科>乳腺・甲状腺外科>甲状腺領域：診断・検査,,
C0067,甲状腺採血（TSH、FT3、FT4、Tgなど）,内科,内分泌・代謝内科（糖尿病含む）,,乳腺・甲状腺外科、内分泌・代謝内科（糖尿病含む）,3,1,2,"113,239",内科>内分泌・代謝内科（糖尿病含む） | 外科>乳腺・甲状腺外科>甲状腺領域：診断・検査,,
C0068,血液検査（TRAb、TgAbなど自己抗体検査）,内科,内分泌・代謝内科（糖尿病含む）,,乳腺・甲状腺外科、内分泌・代謝内科（糖尿病含む）,3,1,2,"114,240",内科>内分泌・代謝内科（糖尿病含む） | 外科>乳腺・甲状腺外科>甲状腺領域：診断・検査,,
C0069,内分泌治療薬の処方（例：タキモシフェン、アロマターゼ阻害薬等,内科,内分泌・代謝内科（糖尿病含む）,,乳腺・甲状腺外科、内分泌・代謝内科（糖尿病含む）,3,1,2,"115,241",内科>内分泌・代謝内科（糖尿病含む） | 外科>乳腺・甲状腺外科>薬物治療,,
C0070,骨粗鬆症のフォロー,内科,内分泌・代謝内科（糖尿病含む）,,内分泌・代謝内科（糖尿病含む）,3,1,1,116,内科>内分泌・代謝内科（糖尿病含む）,,
C0071,副腎不全のフォロー,内科,内分泌・代謝内科（糖尿病含む）,,内分泌・代謝内科（糖尿病含む）,3,1,1,117,内科>内分泌・代謝内科（糖尿病含む）,,
C0072,副甲状腺疾患のフォロー,内科,内分泌・代謝内科（糖尿病含む）,,内分泌・代謝内科（糖尿病含む）,3,1,1,118,内科>内分泌・代謝内科（糖尿病含む）,,
C0073,副腎腫瘍のフォロー,内科,内分泌・代謝内科（糖尿病含む）,,内分泌・代謝内科（糖尿病含む）,3,1,1,119,内科>内分泌・代謝内科（糖尿病含む）,,
C0074,脳卒中後遺症のフォロー,内科,脳神経内科（神経内科・脳卒中内科含む）,脳血管障害,脳神経内科（神経内科・脳卒中内科含む）、脳神経外科,3,1,2,"121,250",内科>脳神経内科（神経内科・脳卒中内科含む）>脳血管障害 | 外科>脳神経外科>神経疾患・慢性疾患管理,,
C0075,脳血管障害の慢性期フォロー（脳梗塞、脊髄梗塞、多発性脳梗塞など）,内科,脳神経内科（神経内科・脳卒中内科含む）,脳血管障害,脳神経内科（神経内科・脳卒中内科含む）,3,1,1,122,内科>脳神経内科（神経内科・脳卒中内科含む）>脳血管障害,,
C0076,脳血管疾患等リハビリテーション,内科,脳神経内科（神経内科・脳卒中内科含む）,脳血管障害,脳神経内科（神経内科・脳卒中内科含む）、脳神経外科,3,1,2,"123,253",内科>脳神経内科（神経内科・脳卒中内科含む）>脳血管障害 | 外科>脳神経外科,,
C0077,無症候性脳血管障害,内科,脳神経内科（神経内科・脳卒中内科含む）,脳血管障害,脳神経内科（神経内科・脳卒中内科含む）,3,1,1,124,内科>脳神経内科（神経内科・脳卒中内科含む）>脳血管障害,,
C0078,パーキンソン病の診療・フォロー,内科,脳神経内科（神経内科・脳卒中内科含む）,神経変性疾患,脳神経内科（神経内科・脳卒中内科含む）,3,1,1,125,内科>脳神経内科（神経内科・脳卒中内科含む）>神経変性疾患,,
C0079,神経変性疾患（PD、SCD、ALS、AD等）,内科,脳神経内科（神経内科・脳卒中内科含む）,神経変性疾患,脳神経内科（神経内科・脳卒中内科含む）,3,1,1,126,内科>脳神経内科（神経内科・脳卒中内科含む）>神経変性疾患,,
C0080,認知症管理（薬物治療・介護保険関連）,内科,脳神経内科（神経内科・脳卒中内科含む）,認知症,脳神経内科（神経内科・脳卒中内科含む）,3,1,1,127,内科>脳神経内科（神経内科・脳卒中内科含む）>認知症,,
C0081,末梢神経疾患管理（長期内服治療含む）,内科,脳神経内科（神経内科・脳卒中内科含む）,末梢神経疾患,脳神経内科（神経内科・脳卒中内科含む）,3,1,1,128,内科>脳神経内科（神経内科・脳卒中内科含む）>末梢神経疾患,,
C0082,頭痛／片頭痛薬物治療（予防薬・抗体製剤注射・投与継続）,内科,脳神経内科（神経内科・脳卒中内科含む）,頭痛,脳神経内科（神経内科・脳卒中内科含む）,3,1,1,129,内科>脳神経内科（神経内科・脳卒中内科含む）>頭痛,,
C0083,ボトックス注射,内科,脳神経内科（神経内科・脳卒中内科含む）,頭痛,脳神経内科（神経内科・脳卒中内科含む）,3,1,1,130,内科>脳神経内科（神経内科・脳卒中内科含む）>頭痛,,
C0084,てんかんのフォロー,内科,脳神経内科（神経内科・脳卒中内科含む）,てんかん,脳神経内科（神経内科・脳卒中内科含む）、脳神経外科,3,1,2,"131,248",内科>脳神経内科（神経内科・脳卒中内科含む）>てんかん | 外科>脳神経外科>神経疾患・慢性疾患管理,,
C0085,睡眠時無呼吸症候群のフォロー,内科,脳神経内科（神経内科・脳卒中内科含む）,睡眠関連,脳神経内科（神経内科・脳卒中内科含む）,3,1,1,132,内科>脳神経内科（神経内科・脳卒中内科含む）>睡眠関連,,
C0086,睡眠専門医療（ナルコレプシー・SAS）への対応,内科,脳神経内科（神経内科・脳卒中内科含む）,睡眠関連,脳神経内科（神経内科・脳卒中内科含む）,3,1,1,133,内科>脳神経内科（神経内科・脳卒中内科含む）>睡眠関連,,
C0087,CKD管理・フォロー（早期CKD含む）,内科,腎臓内科（高血圧内科含む）,慢性腎臓病（CKD）管理,腎臓内科（高血圧内科含む）,3,1,1,135,内科>腎臓内科（高血圧内科含む）>慢性腎臓病（CKD）管理,,
C0088,保存期腎臓療法（CKM）,内科,腎臓内科（高血圧内科含む）,慢性腎臓病（CKD）管理,腎臓内科（高血圧内科含む）,3,1,1,136,内科>腎臓内科（高血圧内科含む）>慢性腎臓病（CKD）管理,,
C0089,外来での蓄尿・1日尿蛋白量測定,内科,腎臓内科（高血圧内科含む）,慢性腎臓病（CKD）管理,腎臓内科（高血圧内科含む）,3,1,1,137,内科>腎臓内科（高血圧内科含む）>慢性腎臓病（CKD）管理,,
C0090,高血圧症のフォロー（治療）,内科,腎臓内科（高血圧内科含む）,慢性腎臓病（CKD）管理,腎臓内科（高血圧内科含む）,3,1,1,138,内科>腎臓内科（高血圧内科含む）>慢性腎臓病（CKD）管理,,
C0091,高尿酸血症のフォロー,内科,腎臓内科（高血圧内科含む）,慢性腎臓病（CKD）管理,腎臓内科（高血圧内科含む）,3,1,1,139,内科>腎臓内科（高血圧内科含む）>慢性腎臓病（CKD）管理,,
C0092,腎性貧血管理（ESA・HIF-PH阻害薬含む）,内科,腎臓内科（高血圧内科含む）,腎性貧血管理,腎臓内科（高血圧内科含む）,3,1,1,140,内科>腎臓内科（高血圧内科含む）>腎性貧血管理,,
C0093,利尿薬・降圧薬管理・調整,内科,腎臓内科（高血圧内科含む）,薬物管理,腎臓内科（高血圧内科含む）,3,1,1,141,内科>腎臓内科（高血圧内科含む）>薬物管理,,
C0094,腎疾患におけるステロイド・免疫抑制剤投薬・調整,内科,腎臓内科（高血圧内科含む）,薬物管理,腎臓内科（高血圧内科含む）,3,1,1,142,内科>腎臓内科（高血圧内科含む）>薬物管理,,
C0095,腹膜透析管理,内科,腎臓内科（高血圧内科含む）,透析関連,腎臓内科（高血圧内科含む）,3,1,1,143,内科>腎臓内科（高血圧内科含む）>透析関連,,
C0096,人工透析,内科,腎臓内科（高血圧内科含む）,透析関連,腎臓内科（高血圧内科含む）,3,1,1,144,内科>腎臓内科（高血圧内科含む）>透析関連,,
C0097,透析導入への意思決定支援,内科,腎臓内科（高血圧内科含む）,透析関連,腎臓内科（高血圧内科含む）,3,1,1,145,内科>腎臓内科（高血圧内科含む）>透析関連,,
C0098,腎臓超音波（腎血流量測定）,内科,腎臓内科（高血圧内科含む）,検査・画像,腎臓内科（高血圧内科含む）,2,1,1,146,内科>腎臓内科（高血圧内科含む）>検査・画像,,
C0099,栄養士による食事制限・指導・栄養指導（塩分・蛋白制限食など）,内科,腎臓内科（高血圧内科含む）,栄養指導,腎臓内科（高血圧内科含む）,3,1,1,147,内科>腎臓内科（高血圧内科含む）>栄養指導,,
C0100,CKD外来教育,内科,腎臓内科（高血圧内科含む）,,腎臓内科（高血圧内科含む）,3,1,1,148,内科>腎臓内科（高血圧内科含む）,,
C0101,膠原病・関節リウマチの診療・フォロー（特定疾患含む）,内科,血液・膠原病リウマチ内科（リウマチ科・膠原病内科含む）,疾患管理,内科（一般内科、総合診療科含む）、血液・膠原病リウマチ内科（リウマチ科・膠原病内科含む）,3,1,2,"150,166",内科>内科（一般内科、総合診療科含む） | 内科>血液・膠原病リウマチ内科（リウマチ科・膠原病内科含む）>疾患管理,,
C0102,ステロイド治療・調整,内科,血液・膠原病リウマチ内科（リウマチ科・膠原病内科含む）,薬物治療,内科（一般内科、総合診療科含む）、血液・膠原病リウマチ内科（リウマチ科・膠原病内科含む）,3,1,2,"151,167",内科>内科（一般内科、総合診療科含む） | 内科>血液・膠原病リウマチ内科（リウマチ科・膠原病内科含む）>薬物治療,,
C0103,生物学的製剤投与（点滴/皮下注射）,内科,血液・膠原病リウマチ内科（リウマチ科・膠原病内科含む）,薬物治療,内科（一般内科、総合診療科含む）、血液・膠原病リウマチ内科（リウマチ科・膠原病内科含む）,3,1,2,"152,168",内科>内科（一般内科、総合診療科含む） | 内科>血液・膠原病リウマチ内科（リウマチ科・膠原病内科含む）>薬物治療,,
C0104,JAK阻害薬投与,内科,血液・膠原病リウマチ内科（リウマチ科・膠原病内科含む）,薬物治療,血液・膠原病リウマチ内科（リウマチ科・膠原病内科含む）,3,1,1,153,内科>血液・膠原病リウマチ内科（リウマチ科・膠原病内科含む）>薬物治療,,
C0105,G-CSF製剤皮下注射,内科,血液・膠原病リウマチ内科（リウマチ科・膠原病内科含む）,支持療法・造血関連,血液・膠原病リウマチ内科（リウマチ科・膠原病内科含む）,3,1,1,154,内科>血液・膠原病リウマチ内科（リウマチ科・膠原病内科含む）>支持療法・造血関連,,
C0106,凝固因子製剤の処方・指導,内科,血液・膠原病リウマチ内科（リウマチ科・膠原病内科含む）,支持療法・造血関連,血液・膠原病リウマチ内科（リウマチ科・膠原病内科含む）,3,1,1,155,内科>血液・膠原病リウマチ内科（リウマチ科・膠原病内科含む）>支持療法・造血関連,,
C0107,外来輸血,内科,血液・膠原病リウマチ内科（リウマチ科・膠原病内科含む）,支持療法・造血関連,血液・膠原病リウマチ内科（リウマチ科・膠原病内科含む）,3,1,1,156,内科>血液・膠原病リウマチ内科（リウマチ科・膠原病内科含む）>支持療法・造血関連,,
C0108,複数疾患を抱える患者の総合管理,内科,内科（一般内科、総合診療科含む）,総合診療・プライマリケア的対応,内科（一般内科、総合診療科含む）,3,1,1,158,内科>内科（一般内科、総合診療科含む）>総合診療・プライマリケア的対応,,
C0109,複数診療科にまたがる薬剤調整（ポリファーマシー対応）,内科,内科（一般内科、総合診療科含む）,総合診療・プライマリケア的対応,内科（一般内科、総合診療科含む）,3,1,1,159,内科>内科（一般内科、総合診療科含む）>総合診療・プライマリケア的対応,,
C0110,慢性疼痛治療に用いる抗うつ薬の処方,内科,内科（一般内科、総合診療科含む）,薬物療法・処方管理,内科（一般内科、総合診療科含む）,3,1,1,160,内科>内科（一般内科、総合診療科含む）>薬物療法・処方管理,,
C0111,眠剤・安定剤の漸減（依存症リスク管理含む）,内科,内科（一般内科、総合診療科含む）,薬物療法・処方管理,内科（一般内科、総合診療科含む）,3,1,1,161,内科>内科（一般内科、総合診療科含む）>薬物療法・処方管理,,
C0112,片頭痛予防薬の処方（一次対応・継続処方）,内科,内科（一般内科、総合診療科含む）,薬物療法・処方管理,内科（一般内科、総合診療科含む）,3,1,1,162,内科>内科（一般内科、総合診療科含む）>薬物療法・処方管理,,
C0113,免疫抑制剤の処方（他科からの継続支持に基づく）,内科,内科（一般内科、総合診療科含む）,薬物療法・処方管理,内科（一般内科、総合診療科含む）,3,1,1,163,内科>内科（一般内科、総合診療科含む）>薬物療法・処方管理,,
C0114,抗リウマチ薬・甲状腺関連薬などの継続処方（専門科からの引継ぎ,内科,内科（一般内科、総合診療科含む）,薬物療法・処方管理,内科（一般内科、総合診療科含む）,3,1,1,164,内科>内科（一般内科、総合診療科含む）>薬物療法・処方管理,,
C0115,アナフィラキシー対応（エピペン処方・指導）,内科,内科（一般内科、総合診療科含む）,救急対応,アレルギー内科、内科（一般内科、総合診療科含む）,3,1,2,"165,188",内科>アレルギー内科 | 内科>内科（一般内科、総合診療科含む）>救急対応,,
C0116,不明熱（FUO）の診断・フォロー,内科,感染症内科,発熱・不明熱関連,感染症内科,3,1,1,170,内科>感染症内科>発熱・不明熱関連,,
C0117,感染症と非感染症の鑑別診断,内科,感染症内科,発熱・不明熱関連,感染症内科,3,1,1,171,内科>感染症内科>発熱・不明熱関連,,
C0118,敗血症の初期対応と治療方針決定,内科,感染症内科,細菌・ウイルス感染症,感染症内科,3,1,1,172,内科>感染症内科>細菌・ウイルス感染症,,
C0119,難治性・多剤耐性菌感染症の管理,内科,感染症内科,細菌・ウイルス感染症,感染症内科,3,1,1,173,内科>感染症内科>細菌・ウイルス感染症,,
C0120,HIV感染症の診断・治療・長期管理,内科,感染症内科,細菌・ウイルス感染症,感染症内科,3,1,1,174,内科>感染症内科>細菌・ウイルス感染症,,
C0121,ウイルス性肝炎・免疫不全関連感染症の併診,内科,感染症内科,細菌・ウイルス感染症,感染症内科,3,1,1,175,内科>感染症内科>細菌・ウイルス感染症,,
C0122,新型コロナウイルス感染症（COVID-19）の診断・治療,内科,感染症内科,細菌・ウイルス感染症,感染症内科,3,1,1,176,内科>感染症内科>細菌・ウイルス感染症,,
C0123,海外渡航に関連する感染症（マラリア、デング熱など）,内科,感染症内科,特殊感染症・渡航関連,感染症内科,3,1,1,177,内科>感染症内科>特殊感染症・渡航関連,,
C0124,ワクチン接種相談・渡航前後の感染症管理,内科,感染症内科,特殊感染症・渡航関連,感染症内科,3,1,1,178,内科>感染症内科>特殊感染症・渡航関連,,
C0125,抗菌薬の適正使用支援（抗菌薬選択・投与期間の調整）,内科,感染症内科,抗菌薬管理,感染症内科,3,1,1,179,内科>感染症内科>抗菌薬管理,,
C0126,抗真菌薬・抗ウイルス薬の使用管理,内科,感染症内科,抗菌薬管理,感染症内科,3,1,1,180,内科>感染症内科>抗菌薬管理,,
C0127,アレルギー性鼻炎、花粉症の総合管理（内服・舌下免疫療法を含む,内科,アレルギー内科,アレルギー疾患の診断・管理,アレルギー内科,3,1,1,182,内科>アレルギー内科>アレルギー疾患の診断・管理,,
C0128,食物アレルギーの診断・食事指導・経口負荷試験,内科,アレルギー内科,アレルギー疾患の診断・管理,アレルギー内科,3,1,1,183,内科>アレルギー内科>アレルギー疾患の診断・管理,,
C0129,薬剤アレルギーの評価・診断（原因薬特定、再投与可否の判断,内科,アレルギー内科,アレルギー疾患の診断・管理,アレルギー内科,3,1,1,184,内科>アレルギー内科>アレルギー疾患の診断・管理,,
